0.000, 21.416, 467, 21.253
0.003, 27.076, 23480, 26.953
0.001, 26.966, 1006, 26.894
0.000, 25.696, 888, 25.574
0.001, 19.375, 849, 19.313
0.000, 23.193, 796, 23.112
0.000, 23.025, 704, 22.886
0.000, 17.610, 395, 17.417
0.000, 24.188, 551, 24.045
0.000, 24.927, 736, 24.818
0.000, 23.464, 682, 23.359
0.000, 25.094, 524, 25.002
0.000, 20.184, 760, 20.103
0.000, 22.289, 1003, 22.195
0.000, 23.311, 683, 23.216
0.000, 27.131, 1132, 27.031
0.000, 24.440, 1027, 24.362
0.001, 22.347, 782, 22.277
0.000, 21.980, 424, 21.866
0.003, 22.917, 12585, 22.865
0.000, 22.491, 578, 22.374
0.000, 24.288, 982, 24.201
0.000, 25.669, 936, 25.606
0.000, 21.372, 610, 21.291
