0.01;31,115;7515;30,884
0.01;34,237;5011;32,575
0.01;36,046;6458;35,109
0.01;34,194;6252;33,299
0.01;31,619;7903;31,474
0.01;32,192;8272;32,057
0.01;35,695;5022;33,724
0.01;31,221;9085;31,197
0.01;35,406;5521;34,012
0.01;35,249;5455;33,879
0.01;32,898;7921;32,680
0.01;34,927;5976;33,798
0.01;29,517;9998;29,517
0.01;32,043;7707;31,833
0.01;33,964;8142;33,792
0.01;34,035;6643;33,156
0.01;34,546;6515;33,627
0.01;31,698;8354;31,581
0.01;33,116;7694;32,829
0.01;32,697;8349;32,570
0.01;32,811;7438;32,542
0.01;32,558;7976;32,367
0.01;36,338;5784;35,108
0.01;31,978;9079;31,925
