0.0;25,765;11907;25,750
0.0;32,022;7881;31,185
0.0;32,933;9759;32,663
0.0;31,154;9823;30,994
0.0;24,939;12999;24,939
0.0;27,438;12358;27,432
0.0;30,590;12457;30,581
0.0;23,487;12998;23,487
0.0;30,418;11025;30,371
0.0;30,599;10372;30,552
0.0;28,565;12726;28,563
0.0;32,013;10457;31,910
0.0;23,837;12998;23,837
0.0;27,489;12999;27,489
0.0;31,309;12219;31,299
0.0;30,913;9330;30,727
0.0;30,181;12553;30,171
0.0;26,877;12939;26,875
0.0;27,122;12999;27,122
0.0;30,975;12641;30,973
0.0;27,588;11581;27,577
0.0;29,147;12242;29,135
0.0;31,904;11298;31,857
0.0;26,511;12998;26,511
0.0;28,907;11731;28,833
