27,723;12634;26,875
31,813;10113;29,046
32,672;10695;30,085
30,540;13174;29,238
24,576;26459;24,569
27,945;14899;27,417
29,831;13115;28,806
25,681;24860;25,632
31,141;11539;29,508
30,550;12752;29,245
28,730;14037;27,982
32,480;11132;30,105
24,197;21013;24,138
27,132;17079;26,863
31,382;14148;30,086
31,005;11820;29,133
29,410;13368;28,439
26,636;16680;26,384
29,140;15340;28,622
30,699;16330;29,887
27,913;16003;27,489
29,215;13454;28,377
31,230;13812;30,046
26,428;17195;26,206
29,086;15068;28,091
