25,120;11518;25,064
31,543;19989;31,543
33,179;19214;33,178
30,674;11524;30,619
24,525;16491;24,514
26,829;10565;26,638
29,049;14905;28,938
22,734;10738;22,638
29,589;13193;29,144
30,197;12074;30,137
28,274;16735;28,267
31,373;19999;31,373
23,514;15611;23,503
27,079;19930;27,079
31,248;19069;31,242
30,834;18639;30,830
29,901;13055;29,633
26,613;19222;26,612
26,624;16011;26,601
30,795;18559;30,788
27,259;14650;27,230
28,834;18715;28,832
31,574;19888;31,573
26,224;17858;26,222
28,483;16173;28,425
