0.00025;27,895;14884;27,514
0.00025;32,231;13829;31,630
0.00025;32,893;16481;32,588
0.00025;30,841;16723;30,645
0.00025;24,654;29996;24,653
0.00025;28,255;23465;28,201
0.00025;29,661;17410;29,452
0.00025;25,714;27742;25,710
0.00025;31,436;17738;31,125
0.00025;30,899;19659;30,798
0.00025;29,097;22577;29,045
0.00025;32,834;17153;32,539
0.00025;24,316;29988;24,315
0.00025;27,261;27658;27,252
0.00025;31,641;19247;31,477
0.00025;31,375;17595;31,006
0.00025;29,717;19894;29,611
0.00025;26,915;28202;26,913
0.00025;29,311;21036;29,252
0.00025;31,141;24962;31,124
0.00025;28,208;23397;28,171
0.00025;29,594;19487;29,450
0.00025;31,447;18953;31,343
0.00025;26,701;29915;26,700
0.00025000000000000017;29,335;21582;29,188
