27,004;22979;27,004
31,784;22998;31,784
32,562;22972;32,560
29,942;22692;29,941
23,351;22999;23,351
27,321;22981;27,321
28,061;22993;28,060
24,219;22945;24,219
30,576;22953;30,575
30,125;22960;30,124
28,264;22999;28,264
32,245;22964;32,244
23,281;22999;23,281
26,217;22885;26,217
31,126;22977;31,125
30,668;22998;30,668
28,911;22987;28,910
25,886;22946;25,886
27,846;22876;27,846
30,185;22999;30,185
27,186;22994;27,186
28,910;22995;28,910
30,673;22974;30,672
25,911;22999;25,911
28,427;22961;28,427
